formula,group,  P [GPa],  lambda,  w_log [K],   mu,     Tc [K], reference
   SeH6 ,   51,      150,    0.84,     762.78, 0.10,   39      , https://doi.org/10.1002/pssb.201800224
   SeH6 ,   51,      200,    0.73,     724.34, 0.10,   28      , https://doi.org/10.1002/pssb.201800224
   SeH6 ,   51,      300,    0.62,    1039.82, 0.10,   26      , https://doi.org/10.1002/pssb.201800224
   SeH6 ,   51,      150,    0.84,     762.78, 0.13,   32      , https://doi.org/10.1002/pssb.201800224
   SeH6 ,   51,      200,    0.73,     724.34, 0.13,   22      , https://doi.org/10.1002/pssb.201800224
   SeH6 ,   51,      300,    0.62,    1039.82, 0.13,   19      , https://doi.org/10.1002/pssb.201800224
   SeH6 ,   12,      265,    1.06,    1158.31, 0.10,   87      , https://doi.org/10.1002/pssb.201800224
   SeH6 ,   12,      270,    1.05,    1157.37, 0.10,   86      , https://doi.org/10.1002/pssb.201800224
   SeH6 ,   12,      300,    1.62,     585.26, 0.10,   56      , https://doi.org/10.1002/pssb.201800224
   SeH6 ,   12,      265,    1.06,    1158.31, 0.13,   76      , https://doi.org/10.1002/pssb.201800224
   SeH6 ,   12,      270,    1.05,    1157.37, 0.13,   75      , https://doi.org/10.1002/pssb.201800224
   SeH6 ,   12,      300,    1.62,     585.26, 0.13,   50      , https://doi.org/10.1002/pssb.201800224
   ScH2 ,  191,      300,    0.44,      543.5, 0.10,    4      , https://doi.org/10.1021/acs.jpcc.7b12124
   ScH3 ,  194,      400,    0.17,      571.8, 0.10,    1      , https://doi.org/10.1021/acs.jpcc.7b12124
   ScH4 ,  139,      120,    1.68,      734.3, 0.10,   92      , https://doi.org/10.1021/acs.jpcc.7b12124
   ScH4 ,  139,      250,    0.81,     1891.8, 0.10,   68      , https://doi.org/10.1021/acs.jpcc.7b12124
   ScH6 ,  194,      250,    0.57,     1439.8, 0.10,   29      , https://doi.org/10.1021/acs.jpcc.7b12124
   ScH6 ,  229,      350,    1.25,     1433.4, 0.10,  135      , https://doi.org/10.1021/acs.jpcc.7b12124
   ScH7 ,   63,      300,    1.84,     1245.2, 0.10,  169      , https://doi.org/10.1021/acs.jpcc.7b12124
   ScH9 ,  109,      300,    1.94,     1156.2, 0.10,  163      , https://doi.org/10.1021/acs.jpcc.7b12124
   ScH10,   63,      250,    1.17,     1366.8, 0.10,  120      , https://doi.org/10.1021/acs.jpcc.7b12124
   ScH12,   71,      350,    1.23,     1525.3, 0.10,  141      , https://doi.org/10.1021/acs.jpcc.7b12124
   C6H6 ,   14,      185,        ,      724.3, 0.13,    7.18   , https://doi.org/10.1088/1361-648X/aac3ff
   C6H6 ,   14,      190,        ,      571.7, 0.13,   13.67   , https://doi.org/10.1088/1361-648X/aac3ff 
   C6H6 ,   14,      195,        ,      365.6, 0.13,   15.75   , https://doi.org/10.1088/1361-648X/aac3ff
   C6H6 ,   14,      185,        ,      724.3, 0.10,   11.19   , https://doi.org/10.1088/1361-648X/aac3ff
   C6H6 ,   14,      190,        ,      571.7, 0.10,   18.13   , https://doi.org/10.1088/1361-648X/aac3ff
   C6H6 ,   14,      195,        ,      365.6, 0.10,   19.16   , https://doi.org/10.1088/1361-648X/aac3ff
   ScH3 ,  225,      135,    0.23,        918, 0.10,    0      , https://doi.org/10.1103/PhysRevB.96.144108
   ScH3 ,  225,      135,    0.23,        918, 0.13,    0      , https://doi.org/10.1103/PhysRevB.96.144108
   ScH4 ,  139,      195,    0.89,       1340, 0.10,   81      , https://doi.org/10.1103/PhysRevB.96.144108
   ScH4 ,  139,      195,    0.89,       1340, 0.13,   67      , https://doi.org/10.1103/PhysRevB.96.144108
   ScH6 ,  194,      145,    0.95,       1110, 0.10,   75      , https://doi.org/10.1103/PhysRevB.96.144108
   ScH6 ,  194,      145,    0.95,       1110, 0.13,   63      , https://doi.org/10.1103/PhysRevB.96.144108
   ScH6 ,  229,      285,    1.33,       1300, 0.10,  147      , https://doi.org/10.1103/PhysRevB.96.144108
   ScH6 ,  229,      285,    1.33,       1300, 0.13,  130      , https://doi.org/10.1103/PhysRevB.96.144108
   ScH6 ,  194,      130,        ,           , 0.10,  122.6    , https://doi.org/10.1103/PhysRevB.96.094513
   ScH6 ,  194,      200,        ,           , 0.10,  103.6    , https://doi.org/10.1103/PhysRevB.96.094513
   ScH6 ,  194,      300,        ,           , 0.10,   65.59   , https://doi.org/10.1103/PhysRevB.96.094513
   ScH4 ,  139,      200,        ,           , 0.10,  104.6    , https://doi.org/10.1103/PhysRevB.96.094513
   ScH4 ,  139,      250,        ,           , 0.10,   90.81   , https://doi.org/10.1103/PhysRevB.96.094513
   ScH4 ,  139,      300,        ,           , 0.10,   90.81   , https://doi.org/10.1103/PhysRevB.96.094513
   ScH8 ,   71,      300,        ,           , 0.10,  117.1    , https://doi.org/10.1103/PhysRevB.96.094513
   ScH8 ,   71,      350,        ,           , 0.10,  119.8    , https://doi.org/10.1103/PhysRevB.96.094513
   ScH8 ,   71,      400,        ,           , 0.10,  150.7    , https://doi.org/10.1103/PhysRevB.96.094513
   ScH6 ,  229,      300,        ,           , 0.10,  123.8    , https://doi.org/10.1103/PhysRevB.96.094513
   ScH6 ,  229,      350,        ,           , 0.10,  120.9    , https://doi.org/10.1103/PhysRevB.96.094513
   ScH6 ,  229,      400,        ,           , 0.10,  120.9    , https://doi.org/10.1103/PhysRevB.96.094513
   ScH6 ,  229,      300,        ,           , 0.10,  100.5    , https://doi.org/10.1103/PhysRevLett.119.107001
   ScH6 ,  229,      300,        ,           , 0.13,   87.94   , https://doi.org/10.1103/PhysRevLett.119.107001
   ScH9 ,  194,      400,        ,           , 0.10,  181.8    , https://doi.org/10.1103/PhysRevLett.119.107001
   ScH9 ,  194,      400,        ,           , 0.13,  167.9    , https://doi.org/10.1103/PhysRevLett.119.107001
    YH6 ,  229,      120,        ,           , 0.10,  264.5    , https://doi.org/10.1103/PhysRevLett.119.107001
    YH6 ,  229,      120,        ,           , 0.13,  250.6    , https://doi.org/10.1103/PhysRevLett.119.107001
    YH9 ,  194,      150,        ,           , 0.10,  267.2    , https://doi.org/10.1103/PhysRevLett.119.107001
    YH9 ,  194,      150,        ,           , 0.13,  253.2    , https://doi.org/10.1103/PhysRevLett.119.107001
    YH10,  225,      400,        ,           , 0.10,  310.2    , https://doi.org/10.1103/PhysRevLett.119.107001
    YH10,  225,      400,        ,           , 0.13,  287.2    , https://doi.org/10.1103/PhysRevLett.119.107001
   LaH6 ,  167,      100,        ,           , 0.10,  170.8    , https://doi.org/10.1103/PhysRevLett.119.107001
   LaH6 ,  167,      100,        ,           , 0.13,  154.8    , https://doi.org/10.1103/PhysRevLett.119.107001
   LaH9 ,    9,       50,        ,           , 0.10,   27.99   , https://doi.org/10.1103/PhysRevLett.119.107001
   LaH9 ,    9,       50,        ,           , 0.13,   21.01   , https://doi.org/10.1103/PhysRevLett.119.107001
   CeH9 ,  194,      100,        ,           , 0.10,   53.61   , https://doi.org/10.1103/PhysRevLett.119.107001
   CeH9 ,  194,      100,        ,           , 0.13,   47.33   , https://doi.org/10.1103/PhysRevLett.119.107001
   CeH10,  225,      200,        ,           , 0.10,   59.75   , https://doi.org/10.1103/PhysRevLett.119.107001
   CeH10,  225,      200,        ,           , 0.13,   49.28   , https://doi.org/10.1103/PhysRevLett.119.107001
    YH3 ,   11,      120,   0.676,    601.310, 0.10,   19      , https://doi.org/10.1088/1361-648X/aa787d
    YH3 ,  194,      120,   0.417,   1162.113, 0.10,    6      , https://doi.org/10.1088/1361-648X/aa787d
